Account Number,Suite,House Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Point Location,Assessment Class % 1,Assessment Class % 2,Assessment Class % 3,Assessment Class 1,Assessment Class 2,Assessment Class 3
3925286,,,,N,2311,GORMAN,Dene Ward,162000,53.61782538629719,-113.39340667965742,POINT (-113.39340667965742 53.61782538629719),100,,,COMMERCIAL,,
1194976,,15927,88A AVENUE NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,336000,53.5224970838542,-113.59797430793354,POINT (-113.59797430793354 53.5224970838542),100,,,RESIDENTIAL,,
1034339,,9420,92 STREET NW,N,6710,STRATHEARN,Métis Ward,49836000,53.53094866121484,-113.46927857387664,POINT (-113.46927857387664 53.53094866121484),100,,,OTHER RESIDENTIAL,,
1115245,,15015,75 AVENUE NW,Y,4430,RIO TERRACE,sipiwiyiniwak Ward,669500,53.50787175287048,-113.58094456673385,POINT (-113.58094456673385 53.50787175287048),100,,,RESIDENTIAL,,
1012293,,15112,45 AVENUE NW,Y,5340,RAMSAY HEIGHTS,pihêsiwin Ward,268500,53.48456049274555,-113.58191288991183,POINT (-113.58191288991183 53.48456049274555),100,,,RESIDENTIAL,,
1191832,,9311,175 AVENUE NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,358500,53.636637322100476,-113.4851395546046,POINT (-113.4851395546046 53.636637322100476),100,,,RESIDENTIAL,,
1299494,,271,LAGO LINDO CRESCENT NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,423500,53.6307069447985,-113.4892589629617,POINT (-113.4892589629617 53.6307069447985),100,,,RESIDENTIAL,,
1351659,,10002,168 STREET NW,N,4180,GLENWOOD,Nakota Isga Ward,1718000,53.539598773716826,-113.61159968952062,POINT (-113.61159968952062 53.539598773716826),100,,,COMMERCIAL,,
1223395,,12540,60 STREET NW,N,2360,INDUSTRIAL HEIGHTS,Métis Ward,1580500,53.58276164587496,-113.43440368925684,POINT (-113.43440368925684 53.58276164587496),100,,,COMMERCIAL,,
1287358,1408,10145,121 STREET NW,N,1150,OLIVER,O-day'min Ward,78500,53.542161896253226,-113.53018329065722,POINT (-113.53018329065722 53.542161896253226),100,,,RESIDENTIAL,,
1257443,,131,CENTENNIAL COURT NW,N,4060,BRITANNIA YOUNGSTOWN,Nakota Isga Ward,155000,53.54767180705669,-113.61051384692745,POINT (-113.61051384692745 53.54767180705669),100,,,RESIDENTIAL,,
1222348,43,2115,118 STREET NW,N,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,148000,53.45106721911202,-113.52948864239029,POINT (-113.52948864239029 53.45106721911202),100,,,RESIDENTIAL,,
1014836,,10408,16 AVENUE NW,Y,5030,BEARSPAW,Ipiihkoohkanipiaohtsi Ward,442500,53.446536915961694,-113.49439069944543,POINT (-113.49439069944543 53.446536915961694),100,,,RESIDENTIAL,,
1003664,,17319,53 AVENUE NW,N,4451,RIVER VALLEY OLESKIW,sipiwiyiniwak Ward,58500,53.489970319997596,-113.61929010833195,POINT (-113.61929010833195 53.489970319997596),100,,,COMMERCIAL,,
1153634,,8002,159 STREET NW,N,4140,ELMWOOD,sipiwiyiniwak Ward,291000,53.51375445582381,-113.59724359775849,POINT (-113.59724359775849 53.51375445582381),100,,,RESIDENTIAL,,
1219443,,8910,169 STREET NW,Y,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,295000,53.524898645756124,-113.61444910827522,POINT (-113.61444910827522 53.524898645756124),100,,,RESIDENTIAL,,
1213677,1001,8340,JASPER AVENUE NW,N,1070,CROMDALE,Métis Ward,111500,53.55591201019,-113.47031114606736,POINT (-113.47031114606736 53.55591201019),100,,,RESIDENTIAL,,
1074129,,404,67 AVENUE NW,N,6420,MAPLE RIDGE INDUSTRIAL,Sspomitapi Ward,1663500,53.504334698451935,-113.34822826495817,POINT (-113.34822826495817 53.504334698451935),74,26,,COMMERCIAL,RESIDENTIAL,
1080761,,18419,95A AVENUE NW,N,4240,LA PERLE,Nakota Isga Ward,286000,53.530109607231296,-113.64156711322516,POINT (-113.64156711322516 53.530109607231296),100,,,RESIDENTIAL,,
1097732,,18004,93 STREET NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,315000,53.64267809394278,-113.48505778420851,POINT (-113.48505778420851 53.64267809394278),100,,,RESIDENTIAL,,
1078617,,7816,152C AVENUE NW,Y,2410,KILKENNY,tastawiyiniwak Ward,350000,53.615564009017895,-113.46404677735818,POINT (-113.46404677735818 53.615564009017895),100,,,RESIDENTIAL,,
1279272,9,1651,46 STREET NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,185500,53.44449555015787,-113.40805607019388,POINT (-113.40805607019388 53.44449555015787),100,,,RESIDENTIAL,,
1291228,4,9416,149 STREET NW,N,4500,SHERWOOD,sipiwiyiniwak Ward,48000,53.53067640218667,-113.57851215939672,POINT (-113.57851215939672 53.53067640218667),100,,,RESIDENTIAL,,
1202738,207,2624,MILL WOODS ROAD EAST NW,N,6770,WEINLOS,Sspomitapi Ward,69500,53.45885364204667,-113.40821799717817,POINT (-113.40821799717817 53.45885364204667),100,,,RESIDENTIAL,,
1131812,3,10731,79 AVENUE NW,N,5330,QUEEN ALEXANDRA,papastew Ward,162000,53.51492849816707,-113.50783871496265,POINT (-113.50783871496265 53.51492849816707),100,,,RESIDENTIAL,,
1165232,,7207,127 AVENUE NW,N,2020,BALWIN,tastawiyiniwak Ward,154500,53.5848098738101,-113.4525394456475,POINT (-113.4525394456475 53.5848098738101),100,,,RESIDENTIAL,,
1178201,,8327,166 STREET NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,298500,53.518142243675,-113.60785720342794,POINT (-113.60785720342794 53.518142243675),100,,,RESIDENTIAL,,
1310754,,9210,149 STREET NW,N,4500,SHERWOOD,sipiwiyiniwak Ward,2253000,53.527165837286034,-113.57853416432656,POINT (-113.57853416432656 53.527165837286034),100,,,OTHER RESIDENTIAL,,
1246420,209,1620,48 STREET NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,102500,53.446066561734504,-113.41424184432313,POINT (-113.41424184432313 53.446066561734504),100,,,RESIDENTIAL,,
1035633,,17712,95 STREET NW,N,2450,LAGO LINDO,tastawiyiniwak Ward,283500,53.63970521353035,-113.48874561272167,POINT (-113.48874561272167 53.63970521353035),100,,,RESIDENTIAL,,
1106442,,13138,159 STREET NW,N,4320,MISTATIM INDUSTRIAL,Anirniq Ward,724000,53.59089187055333,-113.59787253243874,POINT (-113.59787253243874 53.59089187055333),100,,,COMMERCIAL,,
1044890,,14942,43 AVENUE NW,Y,5340,RAMSAY HEIGHTS,pihêsiwin Ward,215500,53.48023370488944,-113.57949971146672,POINT (-113.57949971146672 53.48023370488944),100,,,RESIDENTIAL,,
1188689,,16121,90 AVENUE NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,440500,53.525616347057834,-113.5997219002467,POINT (-113.5997219002467 53.525616347057834),100,,,RESIDENTIAL,,
1114164,,12803,231 STREET NW,N,4473,HAWKS RIDGE,Nakota Isga Ward,5523000,53.58841059238686,-113.7074271251992,POINT (-113.7074271251992 53.58841059238686),75,24,1,RESIDENTIAL,COMMERCIAL,FARMLAND
1074798,,2604,76 AVENUE NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,28000,53.512482260886806,-113.3828290745956,POINT (-113.3828290745956 53.512482260886806),100,,,COMMERCIAL,,
1291285,25,9432,149 STREET NW,N,4500,SHERWOOD,sipiwiyiniwak Ward,57500,53.53067640218667,-113.57851215939672,POINT (-113.57851215939672 53.53067640218667),100,,,RESIDENTIAL,,
1020791,,170,WOLF WILLOW CRESCENT NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,592500,53.50213712806277,-113.59541930161105,POINT (-113.59541930161105 53.50213712806277),100,,,RESIDENTIAL,,
1028216,38,10453,20 AVENUE NW,N,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,179500,53.44972172727261,-113.49848762659067,POINT (-113.49848762659067 53.44972172727261),100,,,RESIDENTIAL,,
1212562,3,10721,116 STREET NW,N,1180,QUEEN MARY PARK,O-day'min Ward,107500,53.552203149258474,-113.52078031261819,POINT (-113.52078031261819 53.552203149258474),100,,,RESIDENTIAL,,
1310960,47,10172,118 STREET NW,N,1150,OLIVER,O-day'min Ward,214000,53.542572136876274,-113.52550781043476,POINT (-113.52550781043476 53.542572136876274),100,,,RESIDENTIAL,,
1076348,,12221,17 STREET NE,N,2160,CLOVER BAR AREA,Dene Ward,6557000,53.578076954011806,-113.3170132904198,POINT (-113.3170132904198 53.578076954011806),100,,,COMMERCIAL,,
1078880,,7820,152B AVENUE NW,Y,2410,KILKENNY,tastawiyiniwak Ward,360500,53.614782979026714,-113.46423580917495,POINT (-113.46423580917495 53.614782979026714),100,,,RESIDENTIAL,,
1016328,,71,WOLF CRESCENT NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,707500,53.50707340493547,-113.59876454956932,POINT (-113.59876454956932 53.50707340493547),100,,,RESIDENTIAL,,
1133156,302,10743,107 STREET NW,N,1030,CENTRAL MCDOUGALL,O-day'min Ward,151000,53.552683258614444,-113.50422606784788,POINT (-113.50422606784788 53.552683258614444),100,,,RESIDENTIAL,,
1042795,26,15710,BEAUMARIS ROAD NW,N,3040,BEAUMARIS,tastawiyiniwak Ward,167000,53.61796616572657,-113.50328669242306,POINT (-113.50328669242306 53.61796616572657),100,,,RESIDENTIAL,,
1097021,,17732,93 STREET NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,342000,53.6403041578145,-113.48489100084416,POINT (-113.48489100084416 53.6403041578145),100,,,RESIDENTIAL,,
1229251,,16430,89 AVENUE NW,N,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,234500,53.52400041894938,-113.60633436204554,POINT (-113.60633436204554 53.52400041894938),100,,,RESIDENTIAL,,
1201474,,18705,54 AVENUE NW,N,4220,JAMIESON PLACE,sipiwiyiniwak Ward,309500,53.49061083470952,-113.64645531432068,POINT (-113.64645531432068 53.49061083470952),100,,,RESIDENTIAL,,
1281708,208,1945,105 STREET NW,N,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,81500,53.44909954229303,-113.49950518146967,POINT (-113.49950518146967 53.44909954229303),100,,,RESIDENTIAL,,
1133537,303,6214,180 STREET NW,N,4380,ORMSBY PLACE,sipiwiyiniwak Ward,120500,53.49725870292608,-113.63495926233547,POINT (-113.63495926233547 53.49725870292608),100,,,RESIDENTIAL,,
1121540,,15026,84 AVENUE NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,371500,53.51716036461499,-113.58100381743333,POINT (-113.58100381743333 53.51716036461499),100,,,RESIDENTIAL,,
1040666,,4703,72 AVENUE NW,N,6780,WEIR INDUSTRIAL,Métis Ward,1922500,53.50752553336144,-113.4127279085972,POINT (-113.4127279085972 53.50752553336144),100,,,COMMERCIAL,,
1312495,,3524,42 STREET NW,N,6530,MINCHAU,Sspomitapi Ward,186500,53.46633026354483,-113.40715554075486,POINT (-113.40715554075486 53.46633026354483),100,,,RESIDENTIAL,,
1179449,,,,N,5480,STRATHCONA,papastew Ward,7000,53.5241732479624,-113.4926579174034,POINT (-113.4926579174034 53.5241732479624),100,,,RESIDENTIAL,,
1212968,1202,11826,100 AVENUE NW,N,1150,OLIVER,O-day'min Ward,736000,53.53994990978465,-113.52629261997346,POINT (-113.52629261997346 53.53994990978465),100,,,RESIDENTIAL,,
1083591,,7319,158 STREET NW,Y,4390,PATRICIA HEIGHTS,sipiwiyiniwak Ward,554500,53.50568229856558,-113.59257670294099,POINT (-113.59257670294099 53.50568229856558),100,,,RESIDENTIAL,,
1181635,,9020,MEADOWLARK ROAD NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,388000,53.52475795349382,-113.59101732302919,POINT (-113.59101732302919 53.52475795349382),100,,,RESIDENTIAL,,
1053867,,4126,38 STREET NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,308500,53.47786948984988,-113.39938720011801,POINT (-113.39938720011801 53.47786948984988),100,,,RESIDENTIAL,,
1154723,21,3221,119 STREET NW,N,5490,SWEET GRASS,Ipiihkoohkanipiaohtsi Ward,210000,53.463969140466915,-113.53755902168045,POINT (-113.53755902168045 53.463969140466915),100,,,RESIDENTIAL,,
1057785,,54,KINISKI CRESCENT NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,293500,53.478938528697384,-113.40081597111936,POINT (-113.40081597111936 53.478938528697384),100,,,RESIDENTIAL,,
1209915,,7220,183B STREET NW,N,4270,LYMBURN,sipiwiyiniwak Ward,316500,53.50643801555301,-113.6404629508914,POINT (-113.6404629508914 53.50643801555301),100,,,RESIDENTIAL,,
1291855,204,17115,63 AVENUE NW,N,4080,CALLINGWOOD SOUTH,sipiwiyiniwak Ward,114500,53.498984120984986,-113.61930247333459,POINT (-113.61930247333459 53.498984120984986),100,,,RESIDENTIAL,,
1027382,33,3812,20 AVENUE NW,N,6150,DALY GROVE,Sspomitapi Ward,159500,53.451763204171534,-113.40079628987434,POINT (-113.40079628987434 53.451763204171534),100,,,RESIDENTIAL,,
1115351,,19903,QUADRANT AVENUE SW,Y,4463,RIVERVIEW AREA,sipiwiyiniwak Ward,979000,53.43184896789173,-113.66543752096861,POINT (-113.66543752096861 53.43184896789173),100,,,RESIDENTIAL,,
1215854,32,1503,MILL WOODS ROAD EAST NW,N,6140,CRAWFORD PLAINS,Sspomitapi Ward,140000,53.44341912235957,-113.40261040440224,POINT (-113.40261040440224 53.44341912235957),100,,,RESIDENTIAL,,
1025907,10,12715,81 STREET NW,N,2020,BALWIN,tastawiyiniwak Ward,64500,53.58543065508136,-113.46503788755483,POINT (-113.46503788755483 53.58543065508136),100,,,RESIDENTIAL,,
1284280,306,9816,112 STREET NW,N,1150,OLIVER,O-day'min Ward,173500,53.53612037305204,-113.51449232375236,POINT (-113.51449232375236 53.53612037305204),100,,,RESIDENTIAL,,
1270750,,2304,184 STREET NW,N,5130,CARTER CREST,pihêsiwin Ward,244000,53.46160956616288,-113.58393172419963,POINT (-113.58393172419963 53.46160956616288),91,9,,COMMERCIAL,COMMERCIAL,
1057959,,102,KINISKI CRESCENT NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,361500,53.478858392747526,-113.40248954429218,POINT (-113.40248954429218 53.478858392747526),100,,,RESIDENTIAL,,
1038710,205,12036,66 STREET NW,N,2550,MONTROSE,Métis Ward,55500,53.57462466870548,-113.4434273893245,POINT (-113.4434273893245 53.57462466870548),100,,,RESIDENTIAL,,
1307701,,9621,27 AVENUE NW,N,6570,PARSONS INDUSTRIAL,Karhiio Ward,12989500,53.4557817651679,-113.47760684778885,POINT (-113.47760684778885 53.4557817651679),100,,,COMMERCIAL,,
1287523,1508,10145,121 STREET NW,N,1150,OLIVER,O-day'min Ward,80500,53.542161896253226,-113.53018329065722,POINT (-113.53018329065722 53.542161896253226),100,,,RESIDENTIAL,,
1119361,,11261,224 STREET NW,N,4670,WINTERBURN INDUSTRIAL AREA WEST,Nakota Isga Ward,552000,53.56177719275134,-113.70192570605272,POINT (-113.70192570605272 53.56177719275134),100,,,COMMERCIAL,,
1205079,30,1904,48 STREET NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,170500,53.45079162276295,-113.41519713427994,POINT (-113.41519713427994 53.45079162276295),100,,,RESIDENTIAL,,
1124817,,15211,86 AVENUE NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,411000,53.518314372635274,-113.58326354171678,POINT (-113.58326354171678 53.518314372635274),100,,,RESIDENTIAL,,
1014000,,190,WESTRIDGE ROAD NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,473500,53.51080863460019,-113.61298350069255,POINT (-113.61298350069255 53.51080863460019),100,,,RESIDENTIAL,,
1097716,,9404,177 AVENUE NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,345000,53.63951338889562,-113.48614652587162,POINT (-113.48614652587162 53.63951338889562),100,,,RESIDENTIAL,,
1359124,,15906,100 AVENUE NW,Y,4180,GLENWOOD,Nakota Isga Ward,293500,53.53955821491937,-113.59576243309455,POINT (-113.59576243309455 53.53955821491937),100,,,RESIDENTIAL,,
1220797,,16808,94 AVENUE NW,Y,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,323000,53.530937921061266,-113.61340364942433,POINT (-113.61340364942433 53.530937921061266),100,,,RESIDENTIAL,,
1258953,,9126,153 STREET NW,Y,4230,JASPER PARK,sipiwiyiniwak Ward,285000,53.5257472584186,-113.58555406952453,POINT (-113.58555406952453 53.5257472584186),100,,,RESIDENTIAL,,
1221910,14,2115,118 STREET NW,N,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,165000,53.45106721911202,-113.52948864239029,POINT (-113.52948864239029 53.45106721911202),100,,,RESIDENTIAL,,
1208156,,7303,184 STREET NW,Y,4270,LYMBURN,sipiwiyiniwak Ward,349000,53.50692196980311,-113.6415975387781,POINT (-113.6415975387781 53.50692196980311),100,,,RESIDENTIAL,,
1118942,,19915,111 AVENUE NW,N,4650,WINTERBURN INDUSTRIAL AREA EAST,Nakota Isga Ward,4500,53.55844743104705,-113.66466256552235,POINT (-113.66466256552235 53.55844743104705),100,,,COMMERCIAL,,
1253608,,15530,91 AVENUE NW,Y,4230,JASPER PARK,sipiwiyiniwak Ward,388000,53.52518716398497,-113.5892708935082,POINT (-113.5892708935082 53.52518716398497),100,,,RESIDENTIAL,,
1061753,,2219,114 STREET NW,Y,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,226000,53.45318821847791,-113.52360360150372,POINT (-113.52360360150372 53.45318821847791),100,,,RESIDENTIAL,,
1243070,117,2204,118 STREET NW,N,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,190000,53.452861531163755,-113.5330855490615,POINT (-113.5330855490615 53.452861531163755),100,,,RESIDENTIAL,,
1102516,,210,HORSEHILLS ROAD NW,N,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,Dene Ward,578000,53.66868023555808,-113.35056246148096,POINT (-113.35056246148096 53.66868023555808),94,6,,RESIDENTIAL,FARMLAND,
1247303,106,1624,48 STREET NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,64500,53.446066561734504,-113.41424184432313,POINT (-113.41424184432313 53.446066561734504),100,,,RESIDENTIAL,,
1179167,,8329,164 STREET NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,287500,53.518348869499185,-113.60506708042637,POINT (-113.60506708042637 53.518348869499185),100,,,RESIDENTIAL,,
1060581,58,1415,62 STREET NW,N,6670,SAKAW,Karhiio Ward,142500,53.44375019658075,-113.43118122134344,POINT (-113.43118122134344 53.44375019658075),100,,,RESIDENTIAL,,
1295427,,2921,119 STREET NW,N,5470,STEINHAUER,Ipiihkoohkanipiaohtsi Ward,856000,53.461596177525145,-113.51591753359281,POINT (-113.51591753359281 53.461596177525145),100,,,COMMERCIAL,,
1054907,,4129,35 STREET NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,294500,53.47724734526903,-113.3942952405036,POINT (-113.3942952405036 53.47724734526903),100,,,RESIDENTIAL,,
1030832,,3303,138 AVENUE NW,N,2320,HAIRSINE,Dene Ward,152000,53.60004586685922,-113.39262285310896,POINT (-113.39262285310896 53.60004586685922),100,,,RESIDENTIAL,,
1243054,116,2204,118 STREET NW,N,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,158500,53.452861531163755,-113.5330855490615,POINT (-113.5330855490615 53.452861531163755),100,,,RESIDENTIAL,,
1074590,,854,78 AVENUE NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,2141000,53.51448369579743,-113.35885209185996,POINT (-113.35885209185996 53.51448369579743),100,,,COMMERCIAL,,
1161074,,8104,163 STREET NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,318500,53.51532192633094,-113.60319711139788,POINT (-113.60319711139788 53.51532192633094),100,,,RESIDENTIAL,,
1021096,,230,WOLF WILLOW CRESCENT NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,601500,53.50419201304935,-113.5971136047703,POINT (-113.5971136047703 53.50419201304935),100,,,RESIDENTIAL,,
1201813,,15632,92 AVENUE NW,N,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,399000,53.526942564024715,-113.59335042770782,POINT (-113.59335042770782 53.526942564024715),100,,,RESIDENTIAL,,
1148154,,15632,79A AVENUE NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,347500,53.51304010625997,-113.59351739770325,POINT (-113.59351739770325 53.51304010625997),100,,,RESIDENTIAL,,
